LECROYWS104MXs-A)Õ,54569,Waveform
Segments,1,SegmentSize,9978
Segment,TrigTime,TimeSinceSegment1
#1,06-Dec-2024 11:48:08,0                 
Time,Ampl
-0.02564277,1.36735
-0.02563777,1.36836
-0.02563277,1.36933
-0.02562777,1.37022
-0.02562277,1.37099
-0.02561777,1.3717
-0.02561277,1.37231
-0.02560777,1.37282
-0.02560277,1.37326
-0.02559777,1.37363
-0.02559277,1.37395
-0.02558777,1.37425
-0.02558277,1.37452
-0.02557777,1.37478
-0.02557277,1.37507
-0.02556777,1.37541
-0.02556277,1.37584
-0.02555777,1.37634
-0.02555277,1.37695
-0.02554777,1.37766
-0.02554277,1.37845
-0.02553777,1.37932
-0.02553277,1.38023
-0.02552777,1.38118
-0.02552277,1.38214
-0.02551777,1.38309
-0.02551277,1.38398
-0.02550777,1.38483
-0.02550277,1.38558
-0.02549777,1.38627
-0.02549277,1.38687
-0.02548777,1.3874
-0.02548277,1.38783
-0.02547777,1.38825
-0.02547277,1.3886
-0.02546777,1.38894
-0.02546277,1.38923
-0.02545777,1.38951
-0.02545277,1.38981
-0.02544777,1.39012
-0.02544277,1.39052
-0.02543777,1.39097
-0.02543277,1.39153
-0.02542777,1.3922
-0.02542277,1.39301
-0.02541777,1.39388
-0.02541277,1.39486
-0.02540777,1.39591
-0.02540277,1.39702
-0.02539777,1.3981
-0.02539277,1.39917
-0.02538777,1.40014
-0.02538277,1.40106
-0.02537777,1.40185
-0.02537277,1.40259
-0.02536777,1.40316
-0.02536277,1.40371
-0.02535777,1.40419
-0.02535277,1.40468
-0.02534777,1.40513
-0.02534277,1.40563
-0.02533777,1.4061
-0.02533277,1.40663
-0.02532777,1.40713
-0.02532277,1.40766
-0.02531777,1.40819
-0.02531277,1.40873
-0.02530777,1.40924
-0.02530277,1.40971
-0.02529777,1.41017
-0.02529277,1.41062
-0.02528777,1.41106
-0.02528277,1.41145
-0.02527777,1.41185
-0.02527277,1.41226
-0.02526777,1.41266
-0.02526277,1.41305
-0.02525777,1.41347
-0.02525277,1.41386
-0.02524777,1.41428
-0.02524277,1.41463
-0.02523777,1.41503
-0.02523277,1.41538
-0.02522777,1.41574
-0.02522277,1.41605
-0.02521777,1.41639
-0.02521277,1.41669
-0.02520777,1.41698
-0.02520277,1.41728
-0.02519777,1.41763
-0.02519277,1.41801
-0.02518777,1.41846
-0.02518277,1.41896
-0.02517777,1.41955
-0.02517277,1.42018
-0.02516777,1.42085
-0.02516277,1.42154
-0.02515777,1.42222
-0.02515277,1.42287
-0.02514777,1.42346
-0.02514277,1.42403
-0.02513777,1.42453
-0.02513277,1.42496
-0.02512777,1.42538
-0.02512277,1.42581
-0.02511777,1.42628
-0.02511277,1.42682
-0.02510777,1.42737
-0.02510277,1.42802
-0.02509777,1.42871
-0.02509277,1.42942
-0.02508777,1.43014
-0.02508277,1.43079
-0.02507777,1.43132
-0.02507277,1.43174
-0.02506777,1.43201
-0.02506277,1.43213
-0.02505777,1.43211
-0.02505277,1.43199
-0.02504777,1.43181
-0.02504277,1.43156
-0.02503777,1.43132
-0.02503277,1.4311
-0.02502777,1.43098
-0.02502277,1.43097
-0.02501777,1.43112
-0.02501277,1.43134
-0.02500777,1.4317
-0.02500277,1.43215
-0.02499777,1.43272
-0.02499277,1.43337
-0.02498777,1.43409
-0.02498277,1.43478
-0.02497777,1.43547
-0.02497277,1.43612
-0.02496777,1.43677
-0.02496277,1.43734
-0.02495777,1.43784
-0.02495277,1.43827
-0.02494777,1.43863
-0.02494277,1.43894
-0.02493777,1.43924
-0.02493277,1.43952
-0.02492777,1.43979
-0.02492277,1.44009
-0.02491777,1.44041
-0.02491277,1.44072
-0.02490777,1.44106
-0.02490277,1.44145
-0.02489777,1.44183
-0.02489277,1.44222
-0.02488777,1.44258
-0.02488277,1.44291
-0.02487777,1.44325
-0.02487277,1.44357
-0.02486777,1.44388
-0.02486277,1.44424
-0.02485777,1.44461
-0.02485277,1.44499
-0.02484777,1.4454
-0.02484277,1.44592
-0.02483777,1.44645
-0.02483277,1.44702
-0.02482777,1.44761
-0.02482277,1.44823
-0.02481777,1.44884
-0.02481277,1.44943
-0.02480777,1.44998
-0.02480277,1.45052
-0.02479777,1.45097
-0.02479277,1.45139
-0.02478777,1.4517
-0.02478277,1.45198
-0.02477777,1.4522
-0.02477277,1.45235
-0.02476777,1.45247
-0.02476277,1.45255
-0.02475777,1.45263
-0.02475277,1.45267
-0.02474777,1.45275
-0.02474277,1.45285
-0.02473777,1.45299
-0.02473277,1.45312
-0.02472777,1.45332
-0.02472277,1.45354
-0.02471777,1.45381
-0.02471277,1.45409
-0.02470777,1.45441
-0.02470277,1.45472
-0.02469777,1.45508
-0.02469277,1.45545
-0.02468777,1.45585
-0.02468277,1.45622
-0.02467777,1.45664
-0.02467277,1.45707
-0.02466777,1.45753
-0.02466277,1.45798
-0.02465777,1.45842
-0.02465277,1.45885
-0.02464777,1.45925
-0.02464277,1.45964
-0.02463777,1.46
-0.02463277,1.46029
-0.02462777,1.46057
-0.02462277,1.46081
-0.02461777,1.461
-0.02461277,1.46116
-0.02460777,1.4613
-0.02460277,1.46142
-0.02459777,1.46152
-0.02459277,1.4616
-0.02458777,1.46169
-0.02458277,1.46177
-0.02457777,1.46185
-0.02457277,1.46191
