LECROYWS104MXs-A)Õ,54569,Waveform
Segments,1,SegmentSize,9978
Segment,TrigTime,TimeSinceSegment1
#1,06-Dec-2024 10:54:59,0                 
Time,Ampl
-0.02564282,5.048
-0.02563782,5.04912
-0.02563282,5.05062
-0.02562782,5.05175
-0.02562282,5.05362
-0.02561782,5.05587
-0.02561282,5.05812
-0.02560782,5.06037
-0.02560282,5.06225
-0.02559782,5.06337
-0.02559282,5.06375
-0.02558782,5.06262
-0.02558282,5.06037
-0.02557782,5.057
-0.02557282,5.0525
-0.02556782,5.04725
-0.02556282,5.042
-0.02555782,5.03712
-0.02555282,5.033
-0.02554782,5.02925
-0.02554282,5.02662
-0.02553782,5.02512
-0.02553282,5.02512
-0.02552782,5.02587
-0.02552282,5.02775
-0.02551782,5.03
-0.02551282,5.033
-0.02550782,5.03675
-0.02550282,5.0405
-0.02549782,5.04462
-0.02549282,5.04912
-0.02548782,5.05362
-0.02548282,5.05775
-0.02547782,5.0615
-0.02547282,5.06412
-0.02546782,5.066
-0.02546282,5.06675
-0.02545782,5.06525
-0.02545282,5.06225
-0.02544782,5.05737
-0.02544282,5.05025
-0.02543782,5.04162
-0.02543282,5.03187
-0.02542782,5.0225
-0.02542282,5.01275
-0.02541782,5.00338
-0.02541282,4.9955
-0.02540782,4.9895
-0.02540282,4.98463
-0.02539782,4.982
-0.02539282,4.9805
-0.02538782,4.9805
-0.02538282,4.98163
-0.02537782,4.9835
-0.02537282,4.98538
-0.02536782,4.98763
-0.02536282,4.9895
-0.02535782,4.991
-0.02535282,4.99138
-0.02534782,4.991
-0.02534282,4.99025
-0.02533782,4.98913
-0.02533282,4.98763
-0.02532782,4.98613
-0.02532282,4.985
-0.02531782,4.9835
-0.02531282,4.982
-0.02530782,4.98125
-0.02530282,4.98013
-0.02529782,4.97863
-0.02529282,4.97638
-0.02528782,4.97375
-0.02528282,4.97075
-0.02527782,4.96738
-0.02527282,4.96363
-0.02526782,4.95988
-0.02526282,4.9565
-0.02525782,4.95388
-0.02525282,4.95163
-0.02524782,4.95088
-0.02524282,4.95125
-0.02523782,4.95275
-0.02523282,4.955
-0.02522782,4.95838
-0.02522282,4.96213
-0.02521782,4.96588
-0.02521282,4.96888
-0.02520782,4.97113
-0.02520282,4.97188
-0.02519782,4.97113
-0.02519282,4.9685
-0.02518782,4.96513
-0.02518282,4.961
-0.02517782,4.9565
-0.02517282,4.952
-0.02516782,4.94863
-0.02516282,4.94675
-0.02515782,4.94713
-0.02515282,4.94863
-0.02514782,4.95238
-0.02514282,4.95763
-0.02513782,4.964
-0.02513282,4.97075
-0.02512782,4.9775
-0.02512282,4.98388
-0.02511782,4.98913
-0.02511282,4.99325
-0.02510782,4.9955
-0.02510282,4.99663
-0.02509782,4.99663
-0.02509282,4.99475
-0.02508782,4.99288
-0.02508282,4.99063
-0.02507782,4.98763
-0.02507282,4.98463
-0.02506782,4.98125
-0.02506282,4.97788
-0.02505782,4.97488
-0.02505282,4.97113
-0.02504782,4.96663
-0.02504282,4.96213
-0.02503782,4.95763
-0.02503282,4.9535
-0.02502782,4.949
-0.02502282,4.94525
-0.02501782,4.94188
-0.02501282,4.93925
-0.02500782,4.93738
-0.02500282,4.93625
-0.02499782,4.93588
-0.02499282,4.93588
-0.02498782,4.93588
-0.02498282,4.93588
-0.02497782,4.93625
-0.02497282,4.937
-0.02496782,4.93775
-0.02496282,4.9385
-0.02495782,4.93963
-0.02495282,4.94075
-0.02494782,4.94225
-0.02494282,4.94413
-0.02493782,4.946
-0.02493282,4.94788
-0.02492782,4.949
-0.02492282,4.94938
-0.02491782,4.949
-0.02491282,4.9475
-0.02490782,4.94563
-0.02490282,4.94263
-0.02489782,4.93925
-0.02489282,4.93513
-0.02488782,4.931
-0.02488282,4.92688
-0.02487782,4.92388
-0.02487282,4.92088
-0.02486782,4.91863
-0.02486282,4.91675
-0.02485782,4.91563
-0.02485282,4.91525
-0.02484782,4.91525
-0.02484282,4.91525
-0.02483782,4.91525
-0.02483282,4.91525
-0.02482782,4.91488
-0.02482282,4.91413
-0.02481782,4.91375
-0.02481282,4.91263
-0.02480782,4.91113
-0.02480282,4.90963
-0.02479782,4.90813
-0.02479282,4.90625
-0.02478782,4.90475
-0.02478282,4.90363
-0.02477782,4.9025
-0.02477282,4.90213
-0.02476782,4.90213
-0.02476282,4.9025
-0.02475782,4.904
-0.02475282,4.9055
-0.02474782,4.90738
-0.02474282,4.90888
-0.02473782,4.91038
-0.02473282,4.91075
-0.02472782,4.91075
-0.02472282,4.90963
-0.02471782,4.90775
-0.02471282,4.9055
