LECROYWS104MXs-A)Õ,54569,Waveform
Segments,1,SegmentSize,9978
Segment,TrigTime,TimeSinceSegment1
#1,06-Dec-2024 10:53:21,0                 
Time,Ampl
-0.02564196,0.0033126
-0.02563696,0.0034876
-0.02563196,0.00363759
-0.02562696,0.00372509
-0.02562196,0.00378758
-0.02561696,0.00380008
-0.02561196,0.00376259
-0.02560696,0.00368759
-0.02560196,0.00358759
-0.02559696,0.0034751
-0.02559196,0.0033626
-0.02558696,0.0032751
-0.02558196,0.00320011
-0.02557696,0.00316261
-0.02557196,0.00315011
-0.02556696,0.00316261
-0.02556196,0.00321261
-0.02555696,0.0032751
-0.02555196,0.0033501
-0.02554696,0.0034001
-0.02554196,0.0034501
-0.02553696,0.0034751
-0.02553196,0.0034751
-0.02552696,0.0034501
-0.02552196,0.0033876
-0.02551696,0.0033126
-0.02551196,0.00321261
-0.02550696,0.00311261
-0.02550196,0.00300012
-0.02549696,0.00288762
-0.02549196,0.00280012
-0.02548696,0.00271263
-0.02548196,0.00266263
-0.02547696,0.00263763
-0.02547196,0.00263763
-0.02546696,0.00266263
-0.02546196,0.00272513
-0.02545696,0.00280012
-0.02545196,0.00288762
-0.02544696,0.00300012
-0.02544196,0.00310011
-0.02543696,0.00321261
-0.02543196,0.0033126
-0.02542696,0.0034001
-0.02542196,0.0034626
-0.02541696,0.0035126
-0.02541196,0.00353759
-0.02540696,0.0035251
-0.02540196,0.0034876
-0.02539696,0.0034376
-0.02539196,0.0033751
-0.02538696,0.0033001
-0.02538196,0.00322511
-0.02537696,0.00315011
-0.02537196,0.00308761
-0.02536696,0.00303761
-0.02536196,0.00300012
-0.02535696,0.00300012
-0.02535196,0.00298762
-0.02534696,0.00300012
-0.02534196,0.00301261
-0.02533696,0.00302511
-0.02533196,0.00302511
-0.02532696,0.00300012
-0.02532196,0.00295012
-0.02531696,0.00290012
-0.02531196,0.00283762
-0.02530696,0.00276262
-0.02530196,0.00268763
-0.02529696,0.00262513
-0.02529196,0.00258763
-0.02528696,0.00257513
-0.02528196,0.00257513
-0.02527696,0.00260013
-0.02527196,0.00266263
-0.02526696,0.00272513
-0.02526196,0.00281262
-0.02525696,0.00290012
-0.02525196,0.00300012
-0.02524696,0.00307511
-0.02524196,0.00315011
-0.02523696,0.00321261
-0.02523196,0.00326261
-0.02522696,0.0032876
-0.02522196,0.0033001
-0.02521696,0.0033001
-0.02521196,0.0032876
-0.02520696,0.00325011
-0.02520196,0.00321261
-0.02519696,0.00316261
-0.02519196,0.00312511
-0.02518696,0.00306261
-0.02518196,0.00301261
-0.02517696,0.00296262
-0.02517196,0.00291262
-0.02516696,0.00287512
-0.02516196,0.00285012
-0.02515696,0.00285012
-0.02515196,0.00285012
-0.02514696,0.00285012
-0.02514196,0.00287512
-0.02513696,0.00291262
-0.02513196,0.00295012
-0.02512696,0.00298762
-0.02512196,0.00305011
-0.02511696,0.00310011
-0.02511196,0.00315011
-0.02510696,0.00320011
-0.02510196,0.00326261
-0.02509696,0.0033126
-0.02509196,0.0033751
-0.02508696,0.0034251
-0.02508196,0.0034751
-0.02507696,0.00353759
-0.02507196,0.00360009
-0.02506696,0.00365009
-0.02506196,0.00370009
-0.02505696,0.00376259
-0.02505196,0.00381258
-0.02504696,0.00385008
-0.02504196,0.00388758
-0.02503696,0.00390008
-0.02503196,0.00388758
-0.02502696,0.00383758
-0.02502196,0.00373759
-0.02501696,0.00361259
