LECROYWS104MXs-A)Õ,54569,Waveform
Segments,1,SegmentSize,99978
Segment,TrigTime,TimeSinceSegment1
#1,06-Dec-2024 13:15:10,0                 
Time,Ampl
-0.037494068,0.0543781
-0.037493568,0.0543906
-0.037493068,0.0543906
-0.037492568,0.0543906
-0.037492068,0.0543718
-0.037491568,0.0543406
-0.037491068,0.0542968
-0.037490568,0.0542593
-0.037490068,0.0542218
-0.037489568,0.0541843
-0.037489068,0.0541593
-0.037488568,0.0541406
-0.037488068,0.0541281
-0.037487568,0.0541281
-0.037487068,0.0541343
-0.037486568,0.0541343
-0.037486068,0.0541343
-0.037485568,0.0541343
-0.037485068,0.0541218
-0.037484568,0.0541031
-0.037484068,0.0540843
-0.037483568,0.0540531
-0.037483068,0.0540218
-0.037482568,0.0539906
-0.037482068,0.0539593
-0.037481568,0.0539406
-0.037481068,0.0539281
-0.037480568,0.0539281
-0.037480068,0.0539468
-0.037479568,0.0539656
-0.037479068,0.0540031
-0.037478568,0.0540531
-0.037478068,0.0541093
-0.037477568,0.0541718
-0.037477068,0.0542343
-0.037476568,0.0542968
-0.037476068,0.0543531
-0.037475568,0.0544031
-0.037475068,0.0544531
-0.037474568,0.0544843
-0.037474068,0.0545031
-0.037473568,0.0545156
-0.037473068,0.0545218
-0.037472568,0.0545156
-0.037472068,0.0545093
-0.037471568,0.0544968
-0.037471068,0.0544906
-0.037470568,0.0544906
-0.037470068,0.0544906
-0.037469568,0.0545031
-0.037469068,0.0545281
-0.037468568,0.0545468
-0.037468068,0.0545718
-0.037467568,0.0545906
-0.037467068,0.0546093
-0.037466568,0.0546281
-0.037466068,0.0546281
-0.037465568,0.0546281
-0.037465068,0.0546218
-0.037464568,0.0546156
-0.037464068,0.0546093
-0.037463568,0.0546031
-0.037463068,0.0545968
-0.037462568,0.0545968
-0.037462068,0.0546031
-0.037461568,0.0546093
-0.037461068,0.0546093
-0.037460568,0.0546093
-0.037460068,0.0546031
-0.037459568,0.0545968
-0.037459068,0.0545968
-0.037458568,0.0545906
-0.037458068,0.0545906
-0.037457568,0.0545906
-0.037457068,0.0545968
-0.037456568,0.0546218
-0.037456068,0.0546531
-0.037455568,0.0546968
-0.037455068,0.0547468
-0.037454568,0.0548093
-0.037454068,0.0548718
-0.037453568,0.0549343
-0.037453068,0.0549905
-0.037452568,0.055053
-0.037452068,0.0550968
-0.037451568,0.0551405
-0.037451068,0.0551718
-0.037450568,0.0551905
-0.037450068,0.0551905
-0.037449568,0.055178
-0.037449068,0.0551468
-0.037448568,0.0551093
-0.037448068,0.0550593
-0.037447568,0.055003
-0.037447068,0.0549405
-0.037446568,0.0548843
-0.037446068,0.0548343
-0.037445568,0.0547968
-0.037445068,0.0547656
-0.037444568,0.0547531
-0.037444068,0.0547531
-0.037443568,0.0547593
-0.037443068,0.0547656
-0.037442568,0.0547718
-0.037442068,0.0547718
-0.037441568,0.0547656
-0.037441068,0.0547406
-0.037440568,0.0547093
-0.037440068,0.0546531
-0.037439568,0.0545843
-0.037439068,0.0545031
-0.037438568,0.0544156
-0.037438068,0.0543218
-0.037437568,0.0542093
-0.037437068,0.0541031
-0.037436568,0.0539906
-0.037436068,0.0538843
-0.037435568,0.0537843
-0.037435068,0.0536906
-0.037434568,0.0536093
-0.037434068,0.0535468
-0.037433568,0.0535031
-0.037433068,0.0534781
-0.037432568,0.0534719
-0.037432068,0.0534906
-0.037431568,0.0535406
-0.037431068,0.0536093
-0.037430568,0.0536906
-0.037430068,0.0537843
-0.037429568,0.0538843
-0.037429068,0.0539843
-0.037428568,0.0540781
-0.037428068,0.0541656
-0.037427568,0.0542406
-0.037427068,0.0543031
-0.037426568,0.0543468
-0.037426068,0.0543718
-0.037425568,0.0543781
-0.037425068,0.0543781
-0.037424568,0.0543593
-0.037424068,0.0543343
-0.037423568,0.0543093
-0.037423068,0.0542843
-0.037422568,0.0542656
-0.037422068,0.0542656
-0.037421568,0.0542718
-0.037421068,0.0542968
-0.037420568,0.0543281
-0.037420068,0.0543718
-0.037419568,0.0544218
-0.037419068,0.0544781
-0.037418568,0.0545343
-0.037418068,0.0545718
-0.037417568,0.0546031
-0.037417068,0.0546156
-0.037416568,0.0546156
