LECROYWS104MXs-A)Õ,54569,Waveform
Segments,1,SegmentSize,9978
Segment,TrigTime,TimeSinceSegment1
#1,06-Dec-2024 11:41:03,0                 
Time,Ampl
-0.02564362,0.00322511
-0.02563862,0.00321261
-0.02563362,0.00317511
-0.02562862,0.00315011
-0.02562362,0.00313761
-0.02561862,0.00312511
-0.02561362,0.00312511
-0.02560862,0.00315011
-0.02560362,0.00321261
-0.02559862,0.0032876
-0.02559362,0.0033876
-0.02558862,0.0034876
-0.02558362,0.00358759
-0.02557862,0.00367509
-0.02557362,0.00373759
-0.02556862,0.00377509
-0.02556362,0.00377509
-0.02555862,0.00375009
-0.02555362,0.00368759
-0.02554862,0.00362509
-0.02554362,0.00355009
-0.02553862,0.0035001
-0.02553362,0.0034626
-0.02552862,0.0034751
-0.02552362,0.0035251
-0.02551862,0.00361259
-0.02551362,0.00373759
-0.02550862,0.00388758
-0.02550362,0.00403758
-0.02549862,0.00418757
-0.02549362,0.00432506
-0.02548862,0.00442506
-0.02548362,0.00451256
-0.02547862,0.00457505
-0.02547362,0.00460005
-0.02546862,0.00460005
-0.02546362,0.00457505
-0.02545862,0.00455006
-0.02545362,0.00451256
-0.02544862,0.00447506
-0.02544362,0.00445006
-0.02543862,0.00441256
-0.02543362,0.00438756
-0.02542862,0.00437506
-0.02542362,0.00436256
-0.02541862,0.00436256
-0.02541362,0.00436256
-0.02540862,0.00436256
-0.02540362,0.00435006
-0.02539862,0.00433756
-0.02539362,0.00433756
-0.02538862,0.00433756
-0.02538362,0.00433756
-0.02537862,0.00433756
-0.02537362,0.00433756
-0.02536862,0.00435006
-0.02536362,0.00437506
-0.02535862,0.00440006
-0.02535362,0.00442506
-0.02534862,0.00445006
-0.02534362,0.00447506
-0.02533862,0.00452506
-0.02533362,0.00456256
-0.02532862,0.00462505
-0.02532362,0.00466255
-0.02531862,0.00471255
-0.02531362,0.00476255
-0.02530862,0.00482505
-0.02530362,0.00487504
-0.02529862,0.00493754
-0.02529362,0.00500004
-0.02528862,0.00505004
-0.02528362,0.00508754
-0.02527862,0.00512503
-0.02527362,0.00513753
-0.02526862,0.00515003
-0.02526362,0.00512503
-0.02525862,0.00507504
-0.02525362,0.00498754
-0.02524862,0.00486254
-0.02524362,0.00471255
-0.02523862,0.00455006
-0.02523362,0.00436256
-0.02522862,0.00416257
-0.02522362,0.00398758
-0.02521862,0.00382508
-0.02521362,0.00370009
-0.02520862,0.00360009
-0.02520362,0.00355009
-0.02519862,0.00353759
-0.02519362,0.00357509
-0.02518862,0.00366259
-0.02518362,0.00377509
-0.02517862,0.00388758
-0.02517362,0.00400008
-0.02516862,0.00411257
-0.02516362,0.00417507
-0.02515862,0.00421257
-0.02515362,0.00422507
-0.02514862,0.00418757
-0.02514362,0.00412507
-0.02513862,0.00405007
-0.02513362,0.00395008
-0.02512862,0.00386258
-0.02512362,0.00378758
-0.02511862,0.00375009
-0.02511362,0.00372509
-0.02510862,0.00372509
-0.02510362,0.00373759
-0.02509862,0.00377509
-0.02509362,0.00382508
-0.02508862,0.00386258
-0.02508362,0.00387508
-0.02507862,0.00387508
-0.02507362,0.00383758
-0.02506862,0.00380008
-0.02506362,0.00373759
-0.02505862,0.00368759
-0.02505362,0.00361259
-0.02504862,0.00356259
-0.02504362,0.0035251
-0.02503862,0.00353759
-0.02503362,0.00356259
-0.02502862,0.00360009
-0.02502362,0.00366259
-0.02501862,0.00373759
-0.02501362,0.00382508
-0.02500862,0.00391258
-0.02500362,0.00397508
-0.02499862,0.00402508
-0.02499362,0.00405007
-0.02498862,0.00405007
-0.02498362,0.00401258
-0.02497862,0.00395008
-0.02497362,0.00386258
-0.02496862,0.00376259
-0.02496362,0.00363759
-0.02495862,0.0035001
-0.02495362,0.0033626
-0.02494862,0.00323761
-0.02494362,0.00312511
-0.02493862,0.00303761
-0.02493362,0.00297512
-0.02492862,0.00295012
-0.02492362,0.00295012
-0.02491862,0.00298762
-0.02491362,0.00305011
-0.02490862,0.00313761
-0.02490362,0.00323761
-0.02489862,0.0033501
-0.02489362,0.0034751
-0.02488862,0.00360009
-0.02488362,0.00368759
-0.02487862,0.00375009
-0.02487362,0.00377509
-0.02486862,0.00376259
-0.02486362,0.00370009
-0.02485862,0.00361259
-0.02485362,0.0034876
-0.02484862,0.0033376
-0.02484362,0.00317511
-0.02483862,0.00301261
-0.02483362,0.00288762
-0.02482862,0.00277512
-0.02482362,0.00272513
-0.02481862,0.00271263
-0.02481362,0.00275012
-0.02480862,0.00283762
-0.02480362,0.00297512
-0.02479862,0.00313761
-0.02479362,0.0033126
-0.02478862,0.0034876
-0.02478362,0.00363759
-0.02477862,0.00377509
-0.02477362,0.00387508
-0.02476862,0.00395008
-0.02476362,0.00397508
-0.02475862,0.00397508
-0.02475362,0.00393758
-0.02474862,0.00388758
-0.02474362,0.00382508
-0.02473862,0.00376259
-0.02473362,0.00371259
-0.02472862,0.00366259
-0.02472362,0.00361259
-0.02471862,0.00357509
-0.02471362,0.00353759
-0.02470862,0.0035251
-0.02470362,0.0035126
-0.02469862,0.0035251
-0.02469362,0.00356259
-0.02468862,0.00361259
-0.02468362,0.00367509
-0.02467862,0.00376259
-0.02467362,0.00386258
-0.02466862,0.00396258
-0.02466362,0.00405007
-0.02465862,0.00413757
-0.02465362,0.00418757
-0.02464862,0.00422507
-0.02464362,0.00422507
-0.02463862,0.00420007
-0.02463362,0.00412507
-0.02462862,0.00403758
-0.02462362,0.00392508
-0.02461862,0.00381258
-0.02461362,0.00371259
-0.02460862,0.00362509
-0.02460362,0.00353759
-0.02459862,0.0035001
-0.02459362,0.0034751
-0.02458862,0.0034751
-0.02458362,0.0034876
-0.02457862,0.00353759
-0.02457362,0.00360009
-0.02456862,0.00366259
-0.02456362,0.00372509
-0.02455862,0.00381258
-0.02455362,0.00390008
-0.02454862,0.00398758
-0.02454362,0.00407507
-0.02453862,0.00415007
-0.02453362,0.00420007
-0.02452862,0.00423757
-0.02452362,0.00422507
-0.02451862,0.00418757
-0.02451362,0.00408757
-0.02450862,0.00393758
-0.02450362,0.00375009
-0.02449862,0.0035251
-0.02449362,0.00326261
-0.02448862,0.00301261
-0.02448362,0.00276262
-0.02447862,0.00252513
-0.02447362,0.00232514
-0.02446862,0.00217515
-0.02446362,0.00208765
-0.02445862,0.00205015
-0.02445362,0.00206265
-0.02444862,0.00212515
-0.02444362,0.00223764
-0.02443862,0.00237514
-0.02443362,0.00255013
-0.02442862,0.00273763
-0.02442362,0.00293762
-0.02441862,0.00312511
-0.02441362,0.0033126
-0.02440862,0.0034751
-0.02440362,0.00362509
-0.02439862,0.00373759
-0.02439362,0.00383758
-0.02438862,0.00388758
-0.02438362,0.00392508
-0.02437862,0.00393758
-0.02437362,0.00393758
