LECROYWS104MXs-A)Õ,54569,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,10-Dec-2024 17:34:25,0                 
Time,Ampl
-0.01080199,1.31005
-0.01079999,1.31005
-0.01079799,1.31005
-0.01079599,1.27805
-0.01079399,1.27805
-0.01079199,1.27805
-0.01078999,1.27805
-0.01078799,1.31005
-0.01078599,1.31005
-0.01078399,1.31005
-0.01078199,1.27805
-0.01077999,1.31005
-0.01077799,1.31005
-0.01077599,1.34205
-0.01077399,1.27805
-0.01077199,1.27805
-0.01076999,1.27805
-0.01076799,1.31005
-0.01076599,1.31005
-0.01076399,1.27805
-0.01076199,1.27805
-0.01075999,1.31005
-0.01075799,1.31005
-0.01075599,1.31005
-0.01075399,1.34205
-0.01075199,1.31005
-0.01074999,1.27805
-0.01074799,1.31005
-0.01074599,1.34205
-0.01074399,1.24605
-0.01074199,1.27805
-0.01073999,1.31005
-0.01073799,1.34205
-0.01073599,1.27805
-0.01073399,1.31005
-0.01073199,1.31005
-0.01072999,1.31005
-0.01072799,1.31005
-0.01072599,1.31005
-0.01072399,1.27805
-0.01072199,1.31005
-0.01071999,1.34205
-0.01071799,1.31005
-0.01071599,1.34205
-0.01071399,1.31005
-0.01071199,1.27805
-0.01070999,1.27805
-0.01070799,1.27805
-0.01070599,1.31005
-0.01070399,1.24605
-0.01070199,1.27805
-0.01069999,1.34205
-0.01069799,1.27805
-0.01069599,1.34205
-0.01069399,1.34205
-0.01069199,1.31005
-0.01068999,1.31005
-0.01068799,1.34205
-0.01068599,1.31005
-0.01068399,1.31005
-0.01068199,1.27805
-0.01067999,1.31005
-0.01067799,1.37405
-0.01067599,1.37405
-0.01067399,1.31005
-0.01067199,1.27805
-0.01066999,1.31005
-0.01066799,1.31005
-0.01066599,1.31005
-0.01066399,1.31005
-0.01066199,1.31005
-0.01065999,1.31005
-0.01065799,1.34205
-0.01065599,1.27805
-0.01065399,1.34205
-0.01065199,1.27805
-0.01064999,1.34205
-0.01064799,1.31005
-0.01064599,1.34205
-0.01064399,1.27805
-0.01064199,1.31005
-0.01063999,1.31005
-0.01063799,1.31005
-0.01063599,1.34205
-0.01063399,1.31005
-0.01063199,1.31005
-0.01062999,1.31005
-0.01062799,1.31005
-0.01062599,1.34205
-0.01062399,1.27805
-0.01062199,1.34205
-0.01061999,1.31005
-0.01061799,1.31005
-0.01061599,1.31005
-0.01061399,1.34205
-0.01061199,1.31005
-0.01060999,1.31005
-0.01060799,1.31005
-0.01060599,1.37405
-0.01060399,1.34205
-0.01060199,1.31005
-0.01059999,1.31005
-0.01059799,1.34205
-0.01059599,1.31005
-0.01059399,1.31005
-0.01059199,1.34205
-0.01058999,1.31005
-0.01058799,1.31005
-0.01058599,1.34205
-0.01058399,1.27805
-0.01058199,1.31005
-0.01057999,1.27805
-0.01057799,1.31005
-0.01057599,1.34205
-0.01057399,1.31005
-0.01057199,1.34205
-0.01056999,1.31005
-0.01056799,1.37405
-0.01056599,1.31005
-0.01056399,1.31005
-0.01056199,1.34205
-0.01055999,1.31005
-0.01055799,1.34205
-0.01055599,1.31005
-0.01055399,1.27805
-0.01055199,1.37405
-0.01054999,1.34205
-0.01054799,1.34205
-0.01054599,1.37405
-0.01054399,1.37405
-0.01054199,1.31005
-0.01053999,1.34205
-0.01053799,1.34205
-0.01053599,1.27805
-0.01053399,1.31005
-0.01053199,1.31005
-0.01052999,1.31005
-0.01052799,1.34205
-0.01052599,1.37405
-0.01052399,1.31005
-0.01052199,1.34205
-0.01051999,1.34205
-0.01051799,1.37405
-0.01051599,1.34205
-0.01051399,1.34205
-0.01051199,1.34205
-0.01050999,1.34205
-0.01050799,1.34205
-0.01050599,1.34205
-0.01050399,1.31005
-0.01050199,1.37405
-0.01049999,1.31005
-0.01049799,1.37405
-0.01049599,1.34205
-0.01049399,1.34205
-0.01049199,1.27805
-0.01048999,1.34205
-0.01048799,1.34205
-0.01048599,1.31005
-0.01048399,1.34205
-0.01048199,1.34205
-0.01047999,1.31005
-0.01047799,1.34205
-0.01047599,1.34205
-0.01047399,1.31005
-0.01047199,1.31005
-0.01046999,1.37405
-0.01046799,1.31005
-0.01046599,1.34205
-0.01046399,1.34205
-0.01046199,1.34205
-0.01045999,1.27805
-0.01045799,1.31005
-0.01045599,1.37405
-0.01045399,1.34205
-0.01045199,1.34205
-0.01044999,1.34205
-0.01044799,1.37405
-0.01044599,1.37405
-0.01044399,1.37405
-0.01044199,1.37405
-0.01043999,1.37405
-0.01043799,1.31005
