LECROYWS104MXs-A)Õ,54569,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,10-Dec-2024 18:08:48,0                 
Time,Ampl
-0.0336,0.215999
-0.033595,0.215999
-0.03359,0.215999
-0.033585,0.215999
-0.03358,0.219199
-0.033575,0.215999
-0.03357,0.209599
-0.033565,0.212799
-0.03356,0.215999
-0.033555,0.212799
-0.03355,0.215999
-0.033545,0.215999
-0.03354,0.215999
-0.033535,0.215999
-0.03353,0.222399
-0.033525,0.212799
-0.03352,0.219199
-0.033515,0.219199
-0.03351,0.219199
-0.033505,0.209599
-0.0335,0.222399
-0.033495,0.215999
-0.03349,0.212799
-0.033485,0.219199
-0.03348,0.212799
-0.033475,0.209599
-0.03347,0.222399
-0.033465,0.215999
-0.03346,0.212799
-0.033455,0.219199
-0.03345,0.215999
-0.033445,0.215999
-0.03344,0.209599
-0.033435,0.222399
-0.03343,0.222399
-0.033425,0.212799
-0.03342,0.215999
-0.033415,0.215999
-0.03341,0.215999
-0.033405,0.222399
-0.0334,0.215999
-0.033395,0.219199
-0.03339,0.219199
-0.033385,0.215999
-0.03338,0.219199
-0.033375,0.215999
-0.03337,0.212799
-0.033365,0.219199
-0.03336,0.212799
-0.033355,0.209599
-0.03335,0.222399
-0.033345,0.212799
-0.03334,0.212799
-0.033335,0.219199
-0.03333,0.219199
-0.033325,0.215999
-0.03332,0.215999
-0.033315,0.219199
-0.03331,0.215999
-0.033305,0.215999
-0.0333,0.212799
-0.033295,0.215999
-0.03329,0.219199
-0.033285,0.212799
-0.03328,0.215999
-0.033275,0.222399
-0.03327,0.212799
-0.033265,0.219199
-0.03326,0.212799
-0.033255,0.219199
-0.03325,0.215999
-0.033245,0.215999
-0.03324,0.212799
-0.033235,0.1808
-0.03323,0.219199
-0.033225,0.219199
-0.03322,0.215999
-0.033215,0.219199
-0.03321,0.212799
-0.033205,0.219199
-0.0332,0.215999
-0.033195,0.212799
-0.03319,0.212799
-0.033185,0.215999
-0.03318,0.215999
-0.033175,0.215999
-0.03317,0.212799
-0.033165,0.219199
-0.03316,0.215999
-0.033155,0.219199
-0.03315,0.222399
-0.033145,0.212799
-0.03314,0.219199
-0.033135,0.212799
-0.03313,0.212799
-0.033125,0.222399
-0.03312,0.215999
-0.033115,0.215999
-0.03311,0.219199
-0.033105,0.206399
-0.0331,0.215999
-0.033095,0.222399
-0.03309,0.212799
-0.033085,0.215999
-0.03308,0.219199
-0.033075,0.219199
-0.03307,0.215999
-0.033065,0.222399
-0.03306,0.215999
-0.033055,0.209599
-0.03305,0.219199
-0.033045,0.215999
-0.03304,0.215999
-0.033035,0.219199
-0.03303,0.219199
-0.033025,0.215999
-0.03302,0.219199
-0.033015,0.215999
-0.03301,0.212799
-0.033005,0.219199
-0.033,0.215999
-0.032995,0.215999
-0.03299,0.215999
-0.032985,0.219199
-0.03298,0.215999
-0.032975,0.222399
-0.03297,0.212799
-0.032965,0.219199
-0.03296,0.222399
-0.032955,0.215999
-0.03295,0.212799
-0.032945,0.219199
-0.03294,0.215999
-0.032935,0.215999
-0.03293,0.212799
-0.032925,0.215999
-0.03292,0.215999
-0.032915,0.219199
-0.03291,0.219199
-0.032905,0.212799
-0.0329,0.219199
-0.032895,0.215999
-0.03289,0.219199
-0.032885,0.212799
-0.03288,0.215999
-0.032875,0.215999
-0.03287,0.215999
-0.032865,0.212799
-0.03286,0.212799
-0.032855,0.215999
-0.03285,0.215999
-0.032845,0.212799
-0.03284,0.215999
-0.032835,0.215999
-0.03283,0.215999
-0.032825,0.215999
-0.03282,0.215999
-0.032815,0.228798
-0.03281,0.222399
-0.032805,0.212799
-0.0328,0.209599
-0.032795,0.222399
-0.03279,0.215999
-0.032785,0.219199
-0.03278,0.209599
-0.032775,0.219199
-0.03277,0.219199
-0.032765,0.219199
-0.03276,0.215999
-0.032755,0.212799
-0.03275,0.219199
-0.032745,0.215999
-0.03274,0.209599
-0.032735,0.219199
-0.03273,0.215999
-0.032725,0.215999
-0.03272,0.225598
-0.032715,0.215999
-0.03271,0.215999
-0.032705,0.215999
-0.0327,0.212799
-0.032695,0.215999
-0.03269,0.219199
-0.032685,0.215999
-0.03268,0.215999
-0.032675,0.215999
-0.03267,0.215999
-0.032665,0.212799
-0.03266,0.215999
-0.032655,0.212799
-0.03265,0.219199
-0.032645,0.215999
-0.03264,0.209599
-0.032635,0.215999
-0.03263,0.222399
-0.032625,0.215999
-0.03262,0.215999
-0.032615,0.215999
-0.03261,0.212799
-0.032605,0.219199
-0.0326,0.215999
-0.032595,0.215999
-0.03259,0.215999
-0.032585,0.219199
-0.03258,0.209599
-0.032575,0.219199
-0.03257,0.219199
-0.032565,0.219199
-0.03256,0.212799
-0.032555,0.222399
-0.03255,0.215999
-0.032545,0.215999
-0.03254,0.219199
-0.032535,0.215999
-0.03253,0.212799
-0.032525,0.219199
-0.03252,0.215999
-0.032515,0.215999
-0.03251,0.215999
-0.032505,0.215999
-0.0325,0.212799
-0.032495,0.209599
-0.03249,0.215999
-0.032485,0.209599
-0.03248,0.219199
-0.032475,0.215999
-0.03247,0.215999
-0.032465,0.219199
-0.03246,0.212799
-0.032455,0.215999
-0.03245,0.215999
-0.032445,0.215999
-0.03244,0.215999
-0.032435,0.222399
-0.03243,0.215999
-0.032425,0.212799
-0.03242,0.215999
-0.032415,0.215999
-0.03241,0.215999
-0.032405,0.215999
-0.0324,0.215999
-0.032395,0.215999
-0.03239,0.219199
-0.032385,0.222399
-0.03238,0.212799
-0.032375,0.222399
-0.03237,0.215999
-0.032365,0.215999
-0.03236,0.219199
-0.032355,0.209599
-0.03235,0.215999
-0.032345,0.219199
-0.03234,0.222399
-0.032335,0.209599
-0.03233,0.215999
-0.032325,0.215999
-0.03232,0.215999
-0.032315,0.219199
-0.03231,0.212799
-0.032305,0.215999
-0.0323,0.212799
-0.032295,0.215999
-0.03229,0.215999
-0.032285,0.209599
-0.03228,0.212799
-0.032275,0.219199
-0.03227,0.215999
-0.032265,0.215999
-0.03226,0.215999
-0.032255,0.222399
-0.03225,0.215999
-0.032245,0.215999
-0.03224,0.219199
-0.032235,0.212799
-0.03223,0.212799
-0.032225,0.219199
-0.03222,0.212799
-0.032215,0.212799
-0.03221,0.215999
-0.032205,0.222399
-0.0322,0.215999
-0.032195,0.219199
-0.03219,0.212799
-0.032185,0.215999
-0.03218,0.219199
-0.032175,0.222399
-0.03217,0.212799
-0.032165,0.215999
-0.03216,0.215999
-0.032155,0.215999
-0.03215,0.222399
-0.032145,0.215999
-0.03214,0.215999
-0.032135,0.222399
-0.03213,0.212799
-0.032125,0.219199
-0.03212,0.219199
-0.032115,0.212799
-0.03211,0.212799
-0.032105,0.219199
-0.0321,0.209599
-0.032095,0.212799
-0.03209,0.215999
-0.032085,0.219199
-0.03208,0.209599
-0.032075,0.219199
-0.03207,0.212799
-0.032065,0.212799
-0.03206,0.212799
-0.032055,0.219199
-0.03205,0.215999
-0.032045,0.215999
-0.03204,0.212799
-0.032035,0.215999
-0.03203,0.222399
-0.032025,0.215999
-0.03202,0.212799
-0.032015,0.219199
-0.03201,0.219199
-0.032005,0.212799
-0.032,0.219199
-0.031995,0.212799
-0.03199,0.219199
-0.031985,0.219199
-0.03198,0.215999
-0.031975,0.212799
-0.03197,0.219199
-0.031965,0.219199
-0.03196,0.206399
-0.031955,0.219199
-0.03195,0.212799
-0.031945,0.215999
-0.03194,0.225598
-0.031935,0.215999
-0.03193,0.215999
-0.031925,0.212799
-0.03192,0.215999
-0.031915,0.219199
-0.03191,0.215999
-0.031905,0.219199
-0.0319,0.209599
-0.031895,0.215999
-0.03189,0.212799
-0.031885,0.219199
-0.03188,0.219199
-0.031875,0.215999
-0.03187,0.219199
-0.031865,0.219199
-0.03186,0.212799
-0.031855,0.209599
-0.03185,0.219199
-0.031845,0.212799
-0.03184,0.212799
-0.031835,0.215999
-0.03183,0.215999
-0.031825,0.215999
-0.03182,0.219199
-0.031815,0.219199
-0.03181,0.215999
-0.031805,0.215999
-0.0318,0.215999
-0.031795,0.215999
-0.03179,0.212799
-0.031785,0.212799
-0.03178,0.215999
