LECROYWS104MXs-A)Õ,54569,Waveform
Segments,1,SegmentSize,2482
Segment,TrigTime,TimeSinceSegment1
#1,10-Dec-2024 18:08:11,0                 
Time,Ampl
-0.01034196,3.53594
-0.01033696,3.53594
-0.01033196,3.50394
-0.01032696,3.53594
-0.01032196,3.50394
-0.01031696,3.47194
-0.01031196,3.50394
-0.01030696,3.47194
-0.01030196,3.47194
-0.01029696,3.53594
-0.01029196,3.47194
-0.01028696,3.47194
-0.01028196,3.53594
-0.01027696,3.50394
-0.01027196,3.50394
-0.01026696,3.50394
-0.01026196,3.53594
-0.01025696,3.53594
-0.01025196,3.53594
-0.01024696,3.53594
-0.01024196,3.50394
-0.01023696,3.50394
-0.01023196,3.47194
-0.01022696,3.50394
-0.01022196,3.56794
-0.01021696,3.53594
-0.01021196,3.50394
-0.01020696,3.56794
-0.01020196,3.56794
-0.01019696,3.47194
-0.01019196,3.50394
-0.01018696,3.53594
-0.01018196,3.47194
-0.01017696,3.53594
-0.01017196,3.47194
-0.01016696,3.53594
-0.01016196,3.50394
-0.01015696,3.53594
-0.01015196,3.47194
-0.01014696,3.56794
-0.01014196,3.47194
-0.01013696,3.53594
-0.01013196,3.53594
-0.01012696,3.47194
-0.01012196,3.47194
-0.01011696,3.50394
-0.01011196,3.47194
-0.01010696,3.50394
-0.01010196,3.47194
-0.01009696,3.53594
-0.01009196,3.50394
-0.01008696,3.53594
-0.01008196,3.53594
-0.01007696,3.50394
-0.01007196,3.56794
-0.01006696,3.47194
-0.01006196,3.53594
-0.01005696,3.56794
-0.01005196,3.53594
-0.01004696,3.50394
-0.01004196,3.53594
-0.01003696,3.53594
-0.01003196,3.50394
-0.01002696,3.53594
-0.01002196,3.50394
-0.01001696,3.53594
-0.01001196,3.53594
-0.01000696,3.50394
-0.01000196,3.50394
-0.00999696,3.53594
-0.00999196,3.53594
-0.00998696,3.53594
-0.00998196,3.53594
-0.00997696,3.53594
-0.00997196,3.53594
-0.00996696,3.56794
-0.00996196,3.53594
-0.00995696,3.53594
-0.00995196,3.56794
-0.00994696,3.47194
-0.00994196,3.47194
-0.00993696,3.56794
-0.00993196,3.53594
-0.00992696,3.50394
-0.00992196,3.56794
-0.00991696,3.50394
-0.00991196,3.53594
-0.00990696,3.59994
-0.00990196,3.53594
-0.00989696,3.50394
-0.00989196,3.56794
-0.00988696,3.53594
-0.00988196,3.56794
-0.00987696,3.56794
-0.00987196,3.53594
-0.00986696,3.50394
-0.00986196,3.53594
-0.00985696,3.50394
-0.00985196,3.53594
-0.00984696,3.53594
-0.00984196,3.53594
-0.00983696,3.53594
-0.00983196,3.59994
-0.00982696,3.53594
-0.00982196,3.50394
-0.00981696,3.56794
-0.00981196,3.50394
-0.00980696,3.53594
-0.00980196,3.56794
-0.00979696,3.56794
-0.00979196,3.53594
-0.00978696,3.53594
-0.00978196,3.53594
-0.00977696,3.50394
-0.00977196,3.59994
-0.00976696,3.53594
-0.00976196,3.53594
-0.00975696,3.53594
-0.00975196,3.56794
-0.00974696,3.53594
-0.00974196,3.53594
-0.00973696,3.53594
-0.00973196,3.53594
-0.00972696,3.53594
-0.00972196,3.56794
-0.00971696,3.56794
-0.00971196,3.53594
-0.00970696,3.53594
-0.00970196,3.50394
-0.00969696,3.53594
-0.00969196,3.50394
-0.00968696,3.56794
-0.00968196,3.56794
-0.00967696,3.53594
-0.00967196,3.50394
-0.00966696,3.59994
-0.00966196,3.53594
-0.00965696,3.56794
-0.00965196,3.53594
-0.00964696,3.53594
-0.00964196,3.53594
-0.00963696,3.56794
-0.00963196,3.53594
-0.00962696,3.50394
-0.00962196,3.56794
-0.00961696,3.56794
-0.00961196,3.53594
-0.00960696,3.56794
-0.00960196,3.53594
-0.00959696,3.56794
-0.00959196,3.53594
-0.00958696,3.53594
-0.00958196,3.56794
-0.00957696,3.56794
-0.00957196,3.53594
-0.00956696,3.56794
-0.00956196,3.56794
-0.00955696,3.53594
-0.00955196,3.56794
-0.00954696,3.53594
-0.00954196,3.56794
-0.00953696,3.53594
-0.00953196,3.59994
-0.00952696,3.56794
-0.00952196,3.53594
-0.00951696,3.53594
-0.00951196,3.56794
-0.00950696,3.56794
-0.00950196,3.53594
-0.00949696,3.50394
-0.00949196,3.56794
-0.00948696,3.56794
-0.00948196,3.53594
-0.00947696,3.53594
-0.00947196,3.56794
-0.00946696,3.56794
-0.00946196,3.53594
-0.00945696,3.59994
-0.00945196,3.53594
-0.00944696,3.56794
-0.00944196,3.59994
-0.00943696,3.56794
