LECROYWS104MXs-A)Õ,54569,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,17-Dec-2024 17:26:52,0                 
Time,Ampl
-0.0136814,3.21998
-0.0136794,3.18798
-0.0136774,3.21998
-0.0136754,3.21998
-0.0136734,3.18798
-0.0136714,3.18798
-0.0136694,3.21998
-0.0136674,3.15598
-0.0136654,3.15598
-0.0136634,3.15598
-0.0136614,3.12399
-0.0136594,3.18798
-0.0136574,3.25198
-0.0136554,3.21998
-0.0136534,3.15598
-0.0136514,3.21998
-0.0136494,3.15598
-0.0136474,3.15598
-0.0136454,3.18798
-0.0136434,3.12399
-0.0136414,3.21998
-0.0136394,3.18798
-0.0136374,3.18798
-0.0136354,3.18798
-0.0136334,3.15598
-0.0136314,3.18798
-0.0136294,3.18798
-0.0136274,3.18798
-0.0136254,3.21998
-0.0136234,3.15598
-0.0136214,3.12399
-0.0136194,3.21998
-0.0136174,3.18798
-0.0136154,3.15598
-0.0136134,3.15598
-0.0136114,3.15598
-0.0136094,3.18798
-0.0136074,3.15598
-0.0136054,3.12399
-0.0136034,3.21998
-0.0136014,3.18798
-0.0135994,3.18798
-0.0135974,3.18798
-0.0135954,3.15598
-0.0135934,3.18798
-0.0135914,3.15598
-0.0135894,3.15598
-0.0135874,3.15598
-0.0135854,3.18798
-0.0135834,3.15598
-0.0135814,3.15598
-0.0135794,3.18798
-0.0135774,3.18798
-0.0135754,3.15598
-0.0135734,3.18798
-0.0135714,3.15598
-0.0135694,3.18798
-0.0135674,3.18798
-0.0135654,3.12399
-0.0135634,3.12399
-0.0135614,3.21998
-0.0135594,3.15598
-0.0135574,3.12399
-0.0135554,3.18798
-0.0135534,3.15598
-0.0135514,3.15598
-0.0135494,3.18798
-0.0135474,3.15598
-0.0135454,3.18798
-0.0135434,3.18798
-0.0135414,3.15598
-0.0135394,3.21998
-0.0135374,3.18798
-0.0135354,3.15598
-0.0135334,3.18798
-0.0135314,3.18798
-0.0135294,3.15598
-0.0135274,3.18798
-0.0135254,3.15598
-0.0135234,3.09199
-0.0135214,3.18798
-0.0135194,3.15598
-0.0135174,3.12399
-0.0135154,3.15598
-0.0135134,3.12399
-0.0135114,3.15598
-0.0135094,3.15598
-0.0135074,3.15598
-0.0135054,3.18798
-0.0135034,3.15598
-0.0135014,3.15598
-0.0134994,3.15598
-0.0134974,3.18798
-0.0134954,3.15598
-0.0134934,3.15598
-0.0134914,3.18798
-0.0134894,3.15598
-0.0134874,3.18798
-0.0134854,3.15598
-0.0134834,3.18798
-0.0134814,3.12399
-0.0134794,3.18798
-0.0134774,3.18798
-0.0134754,3.21998
-0.0134734,3.18798
-0.0134714,3.12399
-0.0134694,3.15598
-0.0134674,3.18798
-0.0134654,3.15598
-0.0134634,3.18798
-0.0134614,3.15598
-0.0134594,3.15598
-0.0134574,3.12399
-0.0134554,3.18798
-0.0134534,3.15598
-0.0134514,3.15598
-0.0134494,3.18798
-0.0134474,3.15598
-0.0134454,3.15598
-0.0134434,3.15598
-0.0134414,3.15598
-0.0134394,3.15598
-0.0134374,3.18798
-0.0134354,3.15598
-0.0134334,3.12399
-0.0134314,3.15598
-0.0134294,3.15598
-0.0134274,3.18798
-0.0134254,3.15598
-0.0134234,3.15598
-0.0134214,3.18798
-0.0134194,3.18798
-0.0134174,3.15598
-0.0134154,3.18798
-0.0134134,3.15598
-0.0134114,3.15598
-0.0134094,3.12399
-0.0134074,3.15598
-0.0134054,3.12399
-0.0134034,3.12399
-0.0134014,3.15598
-0.0133994,3.15598
-0.0133974,3.12399
-0.0133954,3.18798
-0.0133934,3.12399
-0.0133914,3.15598
-0.0133894,3.18798
-0.0133874,3.15598
-0.0133854,3.12399
-0.0133834,3.15598
-0.0133814,3.18798
-0.0133794,3.15598
-0.0133774,3.15598
-0.0133754,3.15598
-0.0133734,3.15598
-0.0133714,3.18798
-0.0133694,3.15598
-0.0133674,3.18798
-0.0133654,3.15598
-0.0133634,3.12399
-0.0133614,3.15598
-0.0133594,3.15598
-0.0133574,3.18798
-0.0133554,3.12399
-0.0133534,3.12399
-0.0133514,3.15598
-0.0133494,3.15598
-0.0133474,3.15598
-0.0133454,3.15598
-0.0133434,3.12399
-0.0133414,3.18798
-0.0133394,3.15598
-0.0133374,3.12399
-0.0133354,3.12399
-0.0133334,3.12399
-0.0133314,3.15598
-0.0133294,3.12399
-0.0133274,3.15598
-0.0133254,3.12399
-0.0133234,3.18798
