LECROYWS104MXs-A)Õ,54569,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,18-Dec-2024 15:33:54,0                 
Time,Ampl
-0.03790171,3.658
-0.03789671,3.658
-0.03789171,3.68999
-0.03788671,3.658
-0.03788171,3.72199
-0.03787671,3.72199
-0.03787171,3.68999
-0.03786671,3.68999
-0.03786171,3.68999
-0.03785671,3.72199
-0.03785171,3.72199
-0.03784671,3.68999
-0.03784171,3.658
-0.03783671,3.68999
-0.03783171,3.75399
-0.03782671,3.68999
-0.03782171,3.658
-0.03781671,3.68999
-0.03781171,3.626
-0.03780671,3.658
-0.03780171,3.658
-0.03779671,3.658
-0.03779171,3.658
-0.03778671,3.68999
-0.03778171,3.68999
-0.03777671,3.658
-0.03777171,3.658
-0.03776671,3.75399
-0.03776171,3.626
-0.03775671,3.68999
-0.03775171,3.68999
-0.03774671,3.68999
-0.03774171,3.626
-0.03773671,3.658
-0.03773171,3.658
-0.03772671,3.68999
-0.03772171,3.658
-0.03771671,3.658
-0.03771171,3.658
-0.03770671,3.658
-0.03770171,3.68999
-0.03769671,3.68999
-0.03769171,3.594
-0.03768671,3.72199
-0.03768171,3.68999
-0.03767671,3.658
-0.03767171,3.68999
-0.03766671,3.68999
-0.03766171,3.658
-0.03765671,3.72199
-0.03765171,3.658
-0.03764671,3.658
-0.03764171,3.658
-0.03763671,3.658
-0.03763171,3.626
-0.03762671,3.658
-0.03762171,3.68999
-0.03761671,3.68999
-0.03761171,3.68999
-0.03760671,3.72199
-0.03760171,3.68999
-0.03759671,3.658
-0.03759171,3.68999
-0.03758671,3.68999
-0.03758171,3.72199
-0.03757671,3.626
-0.03757171,3.68999
-0.03756671,3.658
-0.03756171,3.68999
-0.03755671,3.658
-0.03755171,3.68999
-0.03754671,3.658
-0.03754171,3.658
-0.03753671,3.658
-0.03753171,3.68999
-0.03752671,3.68999
-0.03752171,3.626
-0.03751671,3.68999
-0.03751171,3.68999
-0.03750671,3.68999
-0.03750171,3.68999
-0.03749671,3.68999
-0.03749171,3.658
-0.03748671,3.68999
-0.03748171,3.658
-0.03747671,3.68999
-0.03747171,3.658
-0.03746671,3.72199
-0.03746171,3.68999
-0.03745671,3.658
-0.03745171,3.68999
-0.03744671,3.68999
-0.03744171,3.68999
-0.03743671,3.594
-0.03743171,3.658
-0.03742671,3.68999
-0.03742171,3.658
-0.03741671,3.626
-0.03741171,3.658
-0.03740671,3.594
-0.03740171,3.68999
-0.03739671,3.68999
-0.03739171,3.68999
-0.03738671,3.68999
-0.03738171,3.68999
-0.03737671,3.68999
-0.03737171,3.68999
-0.03736671,3.658
-0.03736171,3.626
-0.03735671,3.68999
-0.03735171,3.658
-0.03734671,3.626
-0.03734171,3.68999
-0.03733671,3.658
-0.03733171,3.626
-0.03732671,3.68999
-0.03732171,3.68999
-0.03731671,3.68999
-0.03731171,3.658
-0.03730671,3.68999
-0.03730171,3.68999
-0.03729671,3.75399
-0.03729171,3.658
-0.03728671,3.68999
-0.03728171,3.72199
-0.03727671,3.68999
-0.03727171,3.658
-0.03726671,3.68999
-0.03726171,3.72199
-0.03725671,3.658
-0.03725171,3.68999
-0.03724671,3.68999
-0.03724171,3.658
-0.03723671,3.68999
-0.03723171,3.68999
-0.03722671,3.658
-0.03722171,3.68999
-0.03721671,3.658
-0.03721171,3.68999
-0.03720671,3.72199
-0.03720171,3.626
-0.03719671,3.68999
-0.03719171,3.658
-0.03718671,3.68999
-0.03718171,3.658
-0.03717671,3.658
-0.03717171,3.68999
-0.03716671,3.72199
-0.03716171,3.68999
-0.03715671,3.68999
-0.03715171,3.594
-0.03714671,3.658
-0.03714171,3.68999
-0.03713671,3.626
-0.03713171,3.658
-0.03712671,3.626
-0.03712171,3.626
-0.03711671,3.68999
-0.03711171,3.68999
-0.03710671,3.68999
-0.03710171,3.75399
-0.03709671,3.72199
-0.03709171,3.68999
-0.03708671,3.68999
-0.03708171,3.626
-0.03707671,3.68999
-0.03707171,3.68999
-0.03706671,3.658
-0.03706171,3.658
-0.03705671,3.68999
-0.03705171,3.68999
-0.03704671,3.68999
-0.03704171,3.658
-0.03703671,3.68999
-0.03703171,3.72199
-0.03702671,3.626
-0.03702171,3.658
-0.03701671,3.626
-0.03701171,3.658
-0.03700671,3.626
-0.03700171,3.75399
-0.03699671,3.658
-0.03699171,3.658
-0.03698671,3.658
-0.03698171,3.72199
-0.03697671,3.658
-0.03697171,3.68999
-0.03696671,3.72199
-0.03696171,3.72199
-0.03695671,3.626
-0.03695171,3.626
-0.03694671,3.72199
-0.03694171,3.658
-0.03693671,3.68999
-0.03693171,3.658
-0.03692671,3.658
-0.03692171,3.68999
-0.03691671,3.626
-0.03691171,3.68999
-0.03690671,3.68999
-0.03690171,3.658
-0.03689671,3.68999
-0.03689171,3.658
-0.03688671,3.658
-0.03688171,3.658
-0.03687671,3.658
-0.03687171,3.72199
-0.03686671,3.72199
-0.03686171,3.626
-0.03685671,3.68999
-0.03685171,3.68999
-0.03684671,3.658
-0.03684171,3.68999
-0.03683671,3.68999
-0.03683171,3.626
-0.03682671,3.68999
-0.03682171,3.658
-0.03681671,3.658
-0.03681171,3.594
-0.03680671,3.68999
-0.03680171,3.68999
-0.03679671,3.658
-0.03679171,3.658
-0.03678671,3.68999
-0.03678171,3.658
-0.03677671,3.68999
-0.03677171,3.658
-0.03676671,3.658
-0.03676171,3.68999
-0.03675671,3.658
-0.03675171,3.72199
-0.03674671,3.68999
-0.03674171,3.658
-0.03673671,3.658
-0.03673171,3.75399
-0.03672671,3.68999
-0.03672171,3.68999
-0.03671671,3.658
-0.03671171,3.68999
-0.03670671,3.68999
-0.03670171,3.68999
-0.03669671,3.68999
-0.03669171,3.68999
-0.03668671,3.68999
-0.03668171,3.626
-0.03667671,3.68999
-0.03667171,3.626
-0.03666671,3.68999
-0.03666171,3.68999
-0.03665671,3.68999
-0.03665171,3.658
-0.03664671,3.626
-0.03664171,3.658
-0.03663671,3.68999
-0.03663171,3.75399
-0.03662671,3.68999
-0.03662171,3.626
-0.03661671,3.68999
-0.03661171,3.72199
-0.03660671,3.658
-0.03660171,3.658
-0.03659671,3.658
-0.03659171,3.68999
-0.03658671,3.68999
-0.03658171,3.68999
-0.03657671,3.658
-0.03657171,3.68999
-0.03656671,3.68999
-0.03656171,3.68999
-0.03655671,3.658
-0.03655171,3.658
-0.03654671,3.68999
-0.03654171,3.658
-0.03653671,3.658
-0.03653171,3.658
-0.03652671,3.626
-0.03652171,3.68999
-0.03651671,3.68999
-0.03651171,3.68999
-0.03650671,3.658
-0.03650171,3.68999
-0.03649671,3.68999
-0.03649171,3.658
-0.03648671,3.626
-0.03648171,3.658
-0.03647671,3.68999
-0.03647171,3.658
-0.03646671,3.68999
-0.03646171,3.68999
-0.03645671,3.68999
-0.03645171,3.594
-0.03644671,3.68999
-0.03644171,3.658
-0.03643671,3.658
-0.03643171,3.75399
-0.03642671,3.658
-0.03642171,3.68999
-0.03641671,3.68999
-0.03641171,3.68999
-0.03640671,3.658
