LECROYWS104MXs-A)Õ,54569,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,18-Dec-2024 14:17:00,0                 
Time,Ampl
-0.01236052,4.19197
-0.01235852,4.15998
-0.01235652,4.19197
-0.01235452,4.22397
-0.01235252,4.19197
-0.01235052,4.19197
-0.01234852,4.12798
-0.01234652,4.15998
-0.01234452,4.19197
-0.01234252,4.19197
-0.01234052,4.15998
-0.01233852,4.15998
-0.01233652,4.15998
-0.01233452,4.19197
-0.01233252,4.12798
-0.01233052,4.22397
-0.01232852,4.15998
-0.01232652,4.19197
-0.01232452,4.15998
-0.01232252,4.15998
-0.01232052,4.15998
-0.01231852,4.22397
-0.01231652,4.15998
-0.01231452,4.15998
-0.01231252,4.19197
-0.01231052,4.15998
-0.01230852,4.19197
-0.01230652,4.19197
-0.01230452,4.19197
-0.01230252,4.25597
-0.01230052,4.15998
-0.01229852,4.15998
-0.01229652,4.15998
-0.01229452,4.19197
-0.01229252,4.19197
-0.01229052,4.15998
-0.01228852,4.15998
-0.01228652,4.22397
-0.01228452,4.19197
-0.01228252,4.19197
-0.01228052,4.19197
-0.01227852,4.19197
-0.01227652,4.15998
-0.01227452,4.22397
-0.01227252,4.19197
-0.01227052,4.15998
-0.01226852,4.19197
-0.01226652,4.12798
-0.01226452,4.19197
-0.01226252,4.19197
-0.01226052,4.12798
-0.01225852,4.19197
-0.01225652,4.12798
-0.01225452,4.22397
-0.01225252,4.15998
-0.01225052,4.19197
-0.01224852,4.22397
-0.01224652,4.15998
-0.01224452,4.15998
-0.01224252,4.19197
-0.01224052,4.19197
-0.01223852,4.19197
-0.01223652,4.12798
-0.01223452,4.22397
-0.01223252,4.15998
-0.01223052,4.15998
-0.01222852,4.15998
-0.01222652,4.15998
-0.01222452,4.19197
-0.01222252,4.19197
-0.01222052,4.15998
-0.01221852,4.19197
-0.01221652,4.19197
-0.01221452,4.12798
-0.01221252,4.15998
-0.01221052,4.19197
-0.01220852,4.25597
-0.01220652,4.15998
-0.01220452,4.22397
-0.01220252,4.15998
-0.01220052,4.12798
-0.01219852,4.19197
-0.01219652,4.12798
-0.01219452,4.22397
-0.01219252,4.19197
-0.01219052,4.22397
-0.01218852,4.22397
-0.01218652,4.22397
-0.01218452,4.19197
-0.01218252,4.19197
-0.01218052,4.15998
-0.01217852,4.25597
-0.01217652,4.15998
-0.01217452,4.22397
-0.01217252,4.19197
-0.01217052,4.12798
-0.01216852,4.19197
-0.01216652,4.19197
-0.01216452,4.19197
-0.01216252,4.15998
-0.01216052,4.19197
-0.01215852,4.19197
-0.01215652,4.19197
-0.01215452,4.12798
-0.01215252,4.19197
-0.01215052,4.25597
-0.01214852,4.22397
-0.01214652,4.15998
-0.01214452,4.22397
-0.01214252,4.25597
-0.01214052,4.19197
-0.01213852,4.25597
-0.01213652,4.12798
-0.01213452,4.19197
-0.01213252,4.15998
-0.01213052,4.19197
-0.01212852,4.22397
-0.01212652,4.22397
-0.01212452,4.22397
-0.01212252,4.22397
-0.01212052,4.25597
-0.01211852,4.19197
-0.01211652,4.19197
-0.01211452,4.25597
-0.01211252,4.22397
-0.01211052,4.22397
-0.01210852,4.22397
-0.01210652,4.19197
-0.01210452,4.19197
-0.01210252,4.25597
-0.01210052,4.19197
-0.01209852,4.19197
-0.01209652,4.19197
-0.01209452,4.19197
-0.01209252,4.15998
-0.01209052,4.15998
-0.01208852,4.19197
-0.01208652,4.15998
-0.01208452,4.15998
-0.01208252,4.22397
-0.01208052,4.19197
-0.01207852,4.15998
-0.01207652,4.19197
-0.01207452,4.19197
-0.01207252,4.25597
-0.01207052,4.19197
-0.01206852,4.19197
-0.01206652,4.25597
-0.01206452,4.22397
-0.01206252,4.22397
-0.01206052,4.15998
-0.01205852,4.22397
-0.01205652,4.22397
-0.01205452,4.19197
-0.01205252,4.19197
-0.01205052,4.19197
-0.01204852,4.15998
-0.01204652,4.15998
-0.01204452,4.19197
-0.01204252,4.22397
-0.01204052,4.19197
-0.01203852,4.19197
-0.01203652,4.19197
-0.01203452,4.15998
-0.01203252,4.15998
-0.01203052,4.12798
-0.01202852,4.15998
-0.01202652,4.19197
-0.01202452,4.15998
-0.01202252,4.19197
-0.01202052,4.22397
-0.01201852,4.15998
-0.01201652,4.19197
-0.01201452,4.19197
-0.01201252,4.22397
-0.01201052,4.19197
-0.01200852,4.15998
-0.01200652,4.22397
-0.01200452,4.19197
-0.01200252,4.25597
-0.01200052,4.19197
-0.01199852,4.22397
-0.01199652,4.15998
-0.01199452,4.22397
-0.01199252,4.19197
-0.01199052,4.19197
-0.01198852,4.19197
-0.01198652,4.19197
-0.01198452,4.19197
-0.01198252,4.22397
-0.01198052,4.19197
-0.01197852,4.22397
-0.01197652,4.19197
-0.01197452,4.22397
-0.01197252,4.19197
-0.01197052,4.15998
-0.01196852,4.19197
-0.01196652,4.19197
-0.01196452,4.19197
-0.01196252,4.19197
-0.01196052,4.19197
-0.01195852,4.19197
-0.01195652,4.15998
-0.01195452,4.15998
-0.01195252,4.22397
-0.01195052,4.12798
-0.01194852,4.15998
-0.01194652,4.22397
-0.01194452,4.22397
-0.01194252,4.15998
-0.01194052,4.15998
-0.01193852,4.19197
-0.01193652,4.19197
-0.01193452,4.19197
-0.01193252,4.19197
-0.01193052,4.19197
-0.01192852,4.19197
-0.01192652,4.15998
