freq_confoc,freq_non_confoc,volt_laser
-1263061603.5677376,-1250721223.8009963,0.0035698544
-1262941365.6375675,-1250601676.680694,0.0035698544
-1262821125.8926916,-1250482127.7372518,0.0035698544
-1262700884.333109,-1250362576.9706693,0.0007809098
-1262580640.9588223,-1250243024.3809476,0.0004090504
-1262460395.7698307,-1250123469.9680848,0.0035698544
-1262340148.7661324,-1250003913.732082,0.0035698544
-1262219899.94773,-1249884355.6729407,0.0035698544
-1262099649.314622,-1249764795.7906585,0.0035698544
-1261979396.866809,-1249645234.085236,0.0035698544
-1261859142.604291,-1249525670.5566745,0.0035698544
-1261738886.5270672,-1249406105.2049718,0.0035698544
-1261618628.6351404,-1249286538.0301318,0.0035698544
-1261498368.9285069,-1249166969.0321498,0.0035698544
-1261378107.4071665,-1249047398.2110286,0.0035698544
-1261257844.0711231,-1248927825.5667682,0.0035698544
-1261137578.9203749,-1248808251.0993676,0.0007809098
-1261017311.9549189,-1248688674.808826,0.0004090504
-1260897043.1747599,-1248569096.6951442,0.0035698544
-1260776772.579895,-1248449516.7583232,0.0035698544
-1260656500.1703234,-1248329934.998362,0.0007809098
-1260536225.9460497,-1248210351.4152627,0.0004090504
-1260415949.9070692,-1248090766.0090213,0.0035698544
-1260295672.0533838,-1247971178.7796416,0.0035698544
-1260175392.3849926,-1247851589.7271209,0.0035698544
-1260055110.9018974,-1247731998.85146,0.0007809098
-1259934827.6040964,-1247612406.1526608,0.0004090504
-1259814542.4915886,-1247492811.6307206,0.0007809098
-1259694255.5643778,-1247373215.2856402,-0.0023798943
-1259573966.8224611,-1247253617.1174216,-0.0023798943
-1259453676.2658386,-1247134017.126061,0.0004090504
-1259333383.8945131,-1247014415.311562,0.0035698544
-1259213089.70848,-1246894811.673922,0.0007809098
-1259092793.7077427,-1246775206.213142,0.0004090504
-1258972495.8922987,-1246655598.9292226,0.0035698544
-1258852196.2621508,-1246535989.8221622,0.0035698544
-1258731894.817299,-1246416378.8919644,0.0035698544
-1258611591.5577402,-1246296766.1386256,0.0035698544
-1258491286.4834766,-1246177151.5621467,0.0035698544
-1258370979.5945082,-1246057535.1625276,0.0035698544
-1258250670.8908358,-1245937916.9397702,0.0035698544
-1258130360.3724546,-1245818296.8938708,0.0035698544
-1258010048.0393705,-1245698675.0248313,0.0035698544
-1257889733.8915815,-1245579051.3326535,0.0035698544
-1257769417.9290867,-1245459425.8173347,0.0035698544
-1257649100.151887,-1245339798.4788756,0.0035698544
-1257528780.5599813,-1245220169.3172774,0.0035698544
-1257408459.1533718,-1245100538.33254,0.0007809098
-1257288135.9320564,-1244980905.5246625,-0.0023798943
-1257167810.8960361,-1244861270.8936448,-0.0023798943
-1257047484.045309,-1244741634.439487,0.0004090504
-1256927155.37988,-1244621996.16219,0.0007809098
-1256806824.899743,-1244502356.0617518,0.0004090504
-1256686492.6049023,-1244382714.1381745,0.0007809098
-1256566158.4953547,-1244263070.3914561,0.0004090504
-1256445822.571104,-1244143424.8216004,0.0035698544
-1256325484.8321466,-1244023777.4286027,0.0035698544
-1256205145.2784843,-1243904128.2124648,0.0035698544
-1256084803.9101171,-1243784477.1731877,0.0035698544
-1255964460.727045,-1243664824.3107715,0.0035698544
-1255844115.7292671,-1243545169.625215,0.0035698544
-1255723768.9167843,-1243425513.1165185,0.0035698544
-1255603420.2895956,-1243305854.7846818,0.0035698544
-1255483069.847703,-1243186194.629705,0.0007809098
-1255362717.5911045,-1243066532.651589,-0.0023798943
-1255242363.5198011,-1242946868.8503327,0.0004090504
-1255122007.633792,-1242827203.2259364,0.0035698544
-1255001649.9330778,-1242707535.778401,0.0035698544
-1254881290.4176579,-1242587866.5077243,0.0035698544
-1254760929.087534,-1242468195.4139075,0.0035698544
-1254640565.9427032,-1242348522.4969516,0.0035698544
-1254520200.9831705,-1242228847.7568564,0.0007809098
-1254399834.20893,-1242109171.193622,0.0004090504
-1254279465.6199837,-1241989492.8072457,0.0007809098
-1254159095.2163334,-1241869812.5977302,-0.0023798943
-1254038722.9979792,-1241750130.5650754,-0.0023798943
-1253918348.9649172,-1241630446.7092795,-0.0023798943
-1253797973.1171522,-1241510761.0303454,0.0004090504
-1253677595.4546814,-1241391073.5282702,0.0035698544
-1253557215.9775057,-1241271384.2030559,0.0035698544
-1253436834.6856222,-1241151693.0547004,0.0035698544
-1253316451.5790358,-1241032000.0832047,0.0007809098
-1253196066.6577444,-1240912305.28857,0.0004090504
-1253075679.9217472,-1240792608.6707969,0.0007809098
-1252955291.371045,-1240672910.2298818,0.0004090504
-1252834901.0056381,-1240553209.9658294,0.0035698544
-1252714508.8255253,-1240433507.878634,0.0035698544
-1252594114.8307066,-1240313803.9682994,0.0035698544
-1252473719.021184,-1240194098.2348256,0.0007809098
-1252353321.3969545,-1240074390.6782107,0.0004090504
-1252232921.958022,-1239954681.2984586,0.0035698544
-1252112520.7043839,-1239834970.0955644,0.0035698544
-1251992117.6360397,-1239715257.06953,0.0035698544
-1251871712.7529898,-1239595542.2203565,0.0035698544
-1251751306.0552368,-1239475825.5480437,0.0007809098
-1251630897.542777,-1239356107.05259,0.0004090504
-1251510487.2156124,-1239236386.7339978,0.0035698544
-1251390075.0737429,-1239116664.5922647,0.0035698544
-1251269661.1171675,-1238996940.6273904,0.0035698544
-1251149245.3458881,-1238877214.8393788,0.0007809098
-1251028827.759901,-1238757487.2282252,0.0004090504
-1250908408.359211,-1238637757.7939324,0.0007809098
-1250787987.143816,-1238518026.5365005,-0.0023798943
-1250667564.1137152,-1238398293.4559274,0.0004090504
-1250547139.2689085,-1238278558.552215,0.0007809098
-1250426712.609398,-1238158821.8253627,0.0004090504
-1250306284.1351805,-1238039083.2753701,0.0035698544
-1250185853.846259,-1237919342.9022393,0.0035698544
-1250065421.742632,-1237799600.7059665,0.0035698544
-1249944987.8243008,-1237679856.6865554,0.0035698544
-1249824552.0912628,-1237560110.8440032,0.0035698544
-1249704114.543521,-1237440363.1783118,0.0035698544
-1249583675.1810732,-1237320613.6894794,0.0007809098
-1249463234.0039186,-1237200862.3775077,0.0004090504
-1249342791.012062,-1237081109.2423968,0.0007809098
-1249222346.2054977,-1236961354.2841449,0.0004090504
-1249101899.5842295,-1236841597.5027537,0.0035698544
-1248981451.1482563,-1236721838.8982224,0.0035698544
-1248861000.8975782,-1236602078.470553,0.0035698544
-1248740548.8321943,-1236482316.2197413,0.0035698544
-1248620094.9521036,-1236362552.1457906,0.0035698544
-1248499639.25731,-1236242786.2486997,0.0035698544
-1248379181.7478094,-1236123018.5284686,0.0035698544
-1248258722.423606,-1236003248.9850993,0.0035698544
-1248138261.2846966,-1235883477.618588,0.0035698544
-1248017798.3310814,-1235763704.4289374,0.0035698544
-1247897333.5627604,-1235643929.4161477,0.0007809098
-1247776866.9797344,-1235524152.580217,0.0004090504
-1247656398.5820036,-1235404373.921146,0.0035698544
-1247535928.3695679,-1235284593.4389367,0.0035698544
-1247415456.3424273,-1235164811.1335874,0.0035698544
-1247294982.5005808,-1235045027.0050979,0.0035698544
-1247174506.8440294,-1234925241.0534682,0.0035698544
-1247054029.3727713,-1234805453.2786975,0.0007809098
-1246933550.08681,-1234685663.6807895,0.0004090504
-1246813068.986143,-1234565872.2597404,0.0007809098
