LECROYWS104MXs-A)Õ,54569,Waveform
Segments,1,SegmentSize,9978
Segment,TrigTime,TimeSinceSegment1
#1,26-Nov-2024 17:21:38,0                 
Time,Ampl
-0.02214137,1.47067
-0.02213637,1.47098
-0.02213137,1.47124
-0.02212637,1.4714
-0.02212137,1.47149
-0.02211637,1.47149
-0.02211137,1.47143
-0.02210637,1.47135
-0.02210137,1.47118
-0.02209637,1.47095
-0.02209137,1.47073
-0.02208637,1.47048
-0.02208137,1.47025
-0.02207637,1.47003
-0.02207137,1.46986
-0.02206637,1.46977
-0.02206137,1.46974
-0.02205637,1.4698
-0.02205137,1.46991
-0.02204637,1.47008
-0.02204137,1.47028
-0.02203637,1.47053
-0.02203137,1.47079
-0.02202637,1.47098
-0.02202137,1.47112
-0.02201637,1.47121
-0.02201137,1.47121
-0.02200637,1.47115
-0.02200137,1.47104
-0.02199637,1.47087
-0.02199137,1.47073
-0.02198637,1.47059
-0.02198137,1.47056
-0.02197637,1.47053
-0.02197137,1.47056
-0.02196637,1.47067
-0.02196137,1.47084
-0.02195637,1.47098
-0.02195137,1.47107
-0.02194637,1.47109
-0.02194137,1.47104
-0.02193637,1.47084
-0.02193137,1.47059
-0.02192637,1.47019
-0.02192137,1.46969
-0.02191637,1.46915
-0.02191137,1.46865
-0.02190637,1.4682
-0.02190137,1.46786
-0.02189637,1.46764
-0.02189137,1.46752
-0.02188637,1.46755
-0.02188137,1.46772
-0.02187637,1.468
-0.02187137,1.46837
-0.02186637,1.46876
-0.02186137,1.46918
-0.02185637,1.46958
-0.02185137,1.46991
-0.02184637,1.47019
-0.02184137,1.47048
-0.02183637,1.47067
-0.02183137,1.47084
-0.02182637,1.47098
-0.02182137,1.47107
-0.02181637,1.47112
-0.02181137,1.47115
-0.02180637,1.47115
-0.02180137,1.47112
-0.02179637,1.47104
-0.02179137,1.4709
-0.02178637,1.47079
-0.02178137,1.47067
-0.02177637,1.47062
-0.02177137,1.47059
-0.02176637,1.47059
-0.02176137,1.47062
-0.02175637,1.47073
-0.02175137,1.47093
-0.02174637,1.47112
-0.02174137,1.47138
-0.02173637,1.4716
-0.02173137,1.4718
-0.02172637,1.47197
-0.02172137,1.47211
-0.02171637,1.47222
-0.02171137,1.47236
-0.02170637,1.47242
-0.02170137,1.4725
-0.02169637,1.47256
-0.02169137,1.47264
-0.02168637,1.47273
-0.02168137,1.47278
-0.02167637,1.47287
-0.02167137,1.47289
-0.02166637,1.47287
-0.02166137,1.47281
-0.02165637,1.47267
-0.02165137,1.4725
-0.02164637,1.47225
-0.02164137,1.47197
-0.02163637,1.4716
-0.02163137,1.47124
-0.02162637,1.47087
-0.02162137,1.47048
-0.02161637,1.47011
-0.02161137,1.4698
-0.02160637,1.46952
-0.02160137,1.46932
-0.02159637,1.46918
-0.02159137,1.46913
-0.02158637,1.46921
-0.02158137,1.46935
-0.02157637,1.46955
-0.02157137,1.4698
-0.02156637,1.47008
-0.02156137,1.47036
-0.02155637,1.47062
-0.02155137,1.47084
-0.02154637,1.47101
-0.02154137,1.47107
-0.02153637,1.47104
-0.02153137,1.47093
-0.02152637,1.47076
-0.02152137,1.47056
-0.02151637,1.47031
