LECROYWS104MXs-A)Õ,54569,Waveform
Segments,1,SegmentSize,9978
Segment,TrigTime,TimeSinceSegment1
#1,26-Nov-2024 16:54:59,0                 
Time,Ampl
-0.02034126,-3.51175
-0.02033626,-3.52175
-0.02033126,-3.533
-0.02032626,-3.54425
-0.02032126,-3.55487
-0.02031626,-3.563
-0.02031126,-3.5705
-0.02030626,-3.5755
-0.02030126,-3.57925
-0.02029626,-3.58175
-0.02029126,-3.58237
-0.02028626,-3.58237
-0.02028126,-3.58175
-0.02027626,-3.58112
-0.02027126,-3.57925
-0.02026626,-3.57737
-0.02026126,-3.57487
-0.02025626,-3.57112
-0.02025126,-3.56737
-0.02024626,-3.56237
-0.02024126,-3.55675
-0.02023626,-3.55112
-0.02023126,-3.54487
-0.02022626,-3.53987
-0.02022126,-3.53487
-0.02021626,-3.53112
-0.02021126,-3.528
-0.02020626,-3.5255
-0.02020126,-3.52425
-0.02019626,-3.52362
-0.02019126,-3.523
-0.02018626,-3.523
-0.02018126,-3.523
-0.02017626,-3.52362
-0.02017126,-3.52487
-0.02016626,-3.52612
-0.02016126,-3.52737
-0.02015626,-3.52987
-0.02015126,-3.53237
-0.02014626,-3.53487
-0.02014126,-3.538
-0.02013626,-3.53987
-0.02013126,-3.54112
-0.02012626,-3.54237
-0.02012126,-3.54362
-0.02011626,-3.54487
-0.02011126,-3.54612
-0.02010626,-3.548
-0.02010126,-3.55112
-0.02009626,-3.5555
-0.02009126,-3.56112
-0.02008626,-3.56862
-0.02008126,-3.578
-0.02007626,-3.58987
-0.02007126,-3.60237
-0.02006626,-3.61549
-0.02006126,-3.62924
-0.02005626,-3.64299
-0.02005126,-3.65612
-0.02004626,-3.66799
-0.02004126,-3.67862
-0.02003626,-3.68674
-0.02003126,-3.69362
-0.02002626,-3.69799
-0.02002126,-3.70049
-0.02001626,-3.70049
-0.02001126,-3.69799
-0.02000626,-3.69362
-0.02000126,-3.68799
-0.01999626,-3.68112
-0.01999126,-3.67362
-0.01998626,-3.66674
-0.01998126,-3.65987
-0.01997626,-3.65424
-0.01997126,-3.64987
-0.01996626,-3.64799
-0.01996126,-3.64737
-0.01995626,-3.64987
-0.01995126,-3.65362
-0.01994626,-3.65924
-0.01994126,-3.66612
-0.01993626,-3.67299
-0.01993126,-3.67987
-0.01992626,-3.68737
-0.01992126,-3.69362
-0.01991626,-3.69862
-0.01991126,-3.70112
-0.01990626,-3.70174
-0.01990126,-3.70112
-0.01989626,-3.69862
-0.01989126,-3.69487
-0.01988626,-3.69112
-0.01988126,-3.68799
-0.01987626,-3.68549
-0.01987126,-3.68549
-0.01986626,-3.68799
-0.01986126,-3.69299
-0.01985626,-3.70112
-0.01985126,-3.71112
-0.01984626,-3.72174
-0.01984126,-3.73299
-0.01983626,-3.74424
-0.01983126,-3.75424
-0.01982626,-3.76174
-0.01982126,-3.76674
-0.01981626,-3.76861
-0.01981126,-3.76799
-0.01980626,-3.76549
-0.01980126,-3.76236
-0.01979626,-3.75799
-0.01979126,-3.75486
-0.01978626,-3.75236
-0.01978126,-3.75236
-0.01977626,-3.75361
-0.01977126,-3.75799
-0.01976626,-3.76299
-0.01976126,-3.76986
-0.01975626,-3.77799
-0.01975126,-3.78611
-0.01974626,-3.79424
-0.01974126,-3.80111
