indices,laser_peaks,piezo_peaks,ld_peaks,freq
1110,1.49072,-3.859108176065544,0.0650953671255359,377104390084020.94
1450,1.84551,-3.180703080708178,0.0570207683459467,377104798412020.94
1785,1.65782,-2.5122745308707746,0.0490649136660574,377105206740020.94
2343,0.613257,-1.3988920508430982,0.0358130721395551,377105909878483.7
2485,0.67954,-1.1155581580761984,0.0324407397080796,377106090669483.7
2625,0.840261,-0.8362148835172833,0.029115904916484,377106271460483.7
4657,1.06985,3.218253215794971,-0.0191416972015314,377108945610922.8
4787,0.903662,3.477643399313963,-0.0222290437937273,377109126401922.8
4923,0.847887,3.749007432766013,-0.0254589070543829,377109307192922.8
6303,1.21852,6.50253399627532,-0.0582322785715391,377111224766631.8
6882,0.998774,7.657817967486832,-0.0719828453167807,377112041422631.8
